id,title,panels
1398254993495,The Legacy Boston Scally Cap - Dorchester Green,1
1398253846615,The Legacy Boston Scally Cap - Grey & Patriot Blue Herringbone,1
7323525349463,The Legacy Boston Scally Cap - Light Grey,1
1370401505367,The MVP Collectors Edition Boston Scally Cap - Navy,6
6894189117527,The Newsboy Boston Scally Cap - Blue,8
6894189281367,The Newsboy Boston Scally Cap - Green,8
6894188003415,The Newsboy Boston Scally Cap - Grey/Brown,8
279559129,The Original Boston Scally Cap - Brown,1
4162233537,The Original Boston Scally Cap - Dark Olive Green Herringbone,1
158732133,The Original Boston Scally Cap - Grey Herringbone,1
391867662349,The Papi Boston Scally Cap - Navy Blue,6
4392460484695,The Peaky Boston Scally Cap - Allston Grey,8
4675375890519,The Peaky Boston Scally Cap - Charcoal & Slate,8
4675380183127,The Peaky Boston Scally Cap - Copper & Ash,8
6609358323799,The Peaky Boston Scally Cap - Dark Olive Green Herringbone,8
4675381821527,The Peaky Boston Scally Cap - Iron & Gravel,8
4488746074199,The Plaid Trainer Boston Scally Cap - Dark Grey & Black,6
4488748302423,The Plaid Trainer Boston Scally Cap - Light Grey & Black,6
7193865486423,The Popeye® Boston Scally Cap - Patchwork,6
6894185807959,The Pub Boston Scally Cap - Black,1
6894187446359,The Pub Boston Scally Cap - Grey,1
6894187905111,The Pub Boston Scally Cap - Heather Blue,1
6918554157143,The Punk Boston Scally Cap - Black,6
6807285039191,The Punk Boston Scally Cap - Irish Green,6
6918554812503,The Punk Boston Scally Cap - St. Patrick Blue,6
3954295373911,The Responder Blue Scally Cap - Police,6
1386836066391,The Responder Boston Scally Cap - EMS Grey,6
3954296979543,The Responder Boston Scally Cap - Fire Black,6
10788981069,The Responder Boston Scally Cap - Fire Blue,6
10788940557,The Responder Boston Scally Cap - Police Black,6
1386837573719,The Responder Classic Boston Scally Cap - Fire Grey,6
1386837835863,The Responder Classic Boston Scally Cap - Police Grey,6
379418785,The Scrapper Boston Scally Cap - Black,6
379420673,The Scrapper Boston Scally Cap - Blue,6
379418609,The Scrapper Boston Scally Cap - Charcoal,6
379420973,The Scrapper Boston Scally Cap - Light Grey,6
379421093,The Scrapper Boston Scally Cap - Tan,6
6903671849047,The St. Anthony's Feast Boston Scally Cap - Black,6
6757198364759,The Stand Boston Scally Cap - Blue Harvest Plaid,8
6757198069847,The Stand Boston Scally Cap - Garden Fresh Plaid,8
6758400229463,The Stand Boston Scally Cap - Wild Berry Plaid,8
6589281534039,The Sunday Boston Scally Cap - Black Smoke & Red,8
6589281239127,The Sunday Boston Scally Cap - Brown Amber & Navy,8
6544396288087,The Sunday Boston Scally Cap - Purple Plaid,8
9543141005,The Teddy Boston Scally Cap - Red,6
334033301,The Townie Boston Scally Cap - Light Tan,1
332378821,The Townie Boston Scally Cap - Navy Blue,1
1972066287703,The Trainer Boston Scally Cap - Black,6
2014270390359,The Trainer Boston Scally Cap - Light Blue,6
1972064550999,The Trainer Boston Scally Cap - Navy,6
4413144793175,The Trinity Boston Scally Cap - Black & Smoke,6
6960678142039,The UFC Eight Panel Boston Scally Cap - Black,8
6960677879895,The UFC Six Panel Boston Scally Cap - Black,6
6960677355607,The UFC Ulti-Man Boston Scally Cap - Grey Herringbone,1
6841482477655,The Wonderland Boston Scally Cap - Red & Green Plaid,8
3960062541911,The Worker Boston Scally Cap - Black,6
4609151107159,The Worker Boston Scally Cap - Concrete,6
3960059428951,The Worker Boston Scally Cap - Craft Tan,6
4609145012311,The Worker Boston Scally Cap - Fresh Cut,6
3960061722711,The Worker Boston Scally Cap - Navy,6
4609147961431,The Worker Boston Scally Cap - Slate,6
6594592374871,The Worker Boston Scally Cap - Steel Cut Teal,6
7458080424023,The Workshop: Holiday Edition Boston Scally Cap - Patchwork,8
7483238187095,The Workshop: St. Patrick's Edition Boston Scally Cap - Patchwork,8
